id,name,class,governorate,area,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4,lat,lon
1243,Green Leaf Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-13,0,2867,31.210552,29.933726
1244,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-01-27,1,4661,31.203201,29.945654
1245,Better Life Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-02-03,2,4048,31.2143,29.941735
1246,Golden Care Pharmacy - Zayed,,Alexandria,Smouha,9,23,1,2025-03-31,0,1687,31.205944,29.950818
1247,Union Pharm - Oct City,,Alexandria,Smouha,8,1,1,2025-07-06,0,2608,31.211668,29.93164
1248,El Faraby Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-03,0,4717,31.202879,29.941501
1249,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-12-01,0,2958,31.214744,29.947512
1250,El Nasr Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2024-12-27,0,9970,31.207335,29.93446
1251,Elite Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-24,0,7064,31.204934,29.95221
1252,Salamtek Pharmacy,,Alexandria,Smouha,8,23,1,2025-04-08,0,3094,31.214508,29.93804
1253,Misr Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-09,0,7487,31.200386,29.948701
1254,Sunrise Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-09-02,0,3679,31.213533,29.95333
1255,Al Nozha Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2025-08-07,1,3223,31.207427,29.928895
1256,Angel Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-01,0,4430,31.219474,29.942706
1257,El Baraka Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-05-26,0,3168,31.204204,29.933049
1258,El Hokama Pharmacy,,Alexandria,Smouha,9,2,1,2025-07-11,0,7235,31.211909,29.955671
1259,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-12-08,0,1138,31.204108,29.93017
1260,Alpha Pharma - Smouha,,Alexandria,Smouha,10,2,1,2025-06-20,0,1408,31.20892,29.94272
1261,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-30,0,4168,31.212441,29.939925
1262,Elite Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2024-10-09,0,7911,31.207971,29.947432
1263,Misr Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-09-08,0,1117,31.213863,29.936412
1264,El Hokama Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-05-25,0,3419,31.203727,29.943946
1265,Health Gate Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-29,0,7610,31.214999,29.941033
1266,Nile Care Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-08,0,4699,31.204907,29.951278
1267,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-30,0,3116,31.21501,29.931479
1268,Silver Care Pharmacy - Zayed,,Alexandria,Smouha,9,1,1,2025-06-16,0,6732,31.202618,29.94073
1269,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-07,0,2594,31.212693,29.948997
1270,Dr Medhat Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-15,0,9026,31.208382,29.932548
1271,El Hokama Pharmacy,,Alexandria,Smouha,10,23,1,2024-12-28,0,6947,31.205755,29.950049
1272,Sunrise Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-27,0,5964,31.216155,29.936388
1273,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2025-09-03,0,3397,31.203548,29.948613
1274,Green Leaf Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-09,0,6701,31.211681,29.953461
1275,El Baraka Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-27,0,3959,31.205578,29.92858
1276,City Care Pharmacy,,Alexandria,Smouha,9,23,1,2025-07-04,0,5172,31.221155,29.944226
1277,Sunrise Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-19,0,6746,31.203187,29.934699
1278,Hope Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-11-15,0,5956,31.21045,29.957563
1279,El Shifa Pharmacy,,Alexandria,Smouha,8,2,1,2025-03-07,0,9536,31.20488,29.928802
1280,Care 24 Seven - Marg,,Alexandria,Smouha,9,23,1,2025-07-10,0,3123,31.207012,29.941708
1281,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,10,1,1,2025-03-08,0,2379,31.214418,29.94055
1282,Family Pharmacy - Montaza,,Alexandria,Smouha,9,1,1,2025-07-26,0,8955,31.208432,29.946819
1283,Pharma Plus - Oct City,,Alexandria,Smouha,9,23,1,2025-05-22,1,1368,31.210969,29.933753
1284,El Faraby Pharmacy - Faisal,,Alexandria,Smouha,8,23,1,2025-08-01,0,1047,31.204981,29.944145
1285,Dr Medhat Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-08,0,7044,31.214506,29.940347
1286,El Hokama Pharmacy - Obour,,Alexandria,Smouha,10,23,1,2025-03-02,0,7737,31.204951,29.950211
1287,Mira Pharmacy - Marg,,Alexandria,Smouha,10,23,1,2024-10-08,0,4322,31.212753,29.932666
1288,Nile Care Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2024-10-13,0,6488,31.202466,29.940769
1289,Salamtek Pharmacy - Helwan,,Alexandria,Smouha,8,23,1,2025-02-01,1,3992,31.214674,29.947044
1290,Blue Wave Pharmacy - Oct City,,Alexandria,Smouha,9,1,1,2025-02-13,0,3264,31.208378,29.93243
1291,El Hokama Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-31,2,9614,31.205726,29.952402
1292,El Baraka Pharmacy - Imbaba,,Alexandria,Smouha,8,1,1,2024-10-11,2,8010,31.218363,29.935901
1293,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-11,0,5156,31.201304,29.947487
1294,Sunrise Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2025-07-18,0,4914,31.211954,29.953877
1295,Metro Pharmacy - Zayed,,Alexandria,Smouha,9,23,1,2024-12-21,0,6476,31.206281,29.927571
1296,Metro Pharmacy - Montaza,,Alexandria,Smouha,8,1,1,2024-11-30,0,6123,31.220794,29.943741
1297,Mira Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-25,0,4348,31.201715,29.934504
1298,Care 24 Seven,,Alexandria,Smouha,9,23,1,2025-08-19,2,1604,31.209834,29.953634
1299,Star Care Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-08-23,0,8667,31.204378,29.928457
1300,Health Gate Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2024-09-06,0,9213,31.208211,29.944092
1301,Ebn Sina Pharmacy - Marg,,Alexandria,Smouha,8,23,1,2024-09-11,0,6938,31.214008,29.938212
1302,Misr Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-04-18,0,9135,31.205926,29.947188
1303,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-03,0,5137,31.21095,29.935731
1304,Elite Pharmacy - Agami,,Alexandria,Smouha,9,23,1,2024-12-22,0,4353,31.202186,29.945975
1305,Al Amal Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2024-10-09,0,1514,31.216679,29.942401
1306,Metro Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-27,0,3623,31.207074,29.951117
1307,Al Amal Pharmacy - Imbaba,,Alexandria,Smouha,9,23,1,2025-02-09,0,5146,31.21181,29.932163
1308,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-26,1,8240,31.201306,29.939808
1309,Golden Care Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-07,0,1425,31.215806,29.951279
1310,City Care Pharmacy - Imbaba,,Alexandria,Smouha,8,23,1,2025-08-04,0,2371,31.206896,29.931932
1311,El Nasr Pharmacy,,Alexandria,Smouha,9,23,1,2025-06-11,0,2776,31.207291,29.951975
1312,Nile Care Pharmacy - Montaza,,Alexandria,Smouha,9,23,1,2025-01-07,0,6963,31.215837,29.935923
1313,Seha First Pharmacy,,Alexandria,Smouha,8,23,1,2025-02-16,0,9972,31.201899,29.947205
1314,Mira Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2024-12-05,2,2087,31.212977,29.953472
1315,Health Gate Pharmacy,,Alexandria,Smouha,10,23,1,2025-03-28,0,2467,31.206139,29.928974
1316,Omega Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-25,0,3374,31.220739,29.941481
1317,Alpha Pharma - Smouha,,Alexandria,Smouha,8,1,1,2025-08-18,0,6975,31.203179,29.935621
1318,Alpha Pharma - Dokki,,Alexandria,Smouha,9,23,1,2025-04-05,0,5221,31.212111,29.956271
1319,Al Nozha Pharmacy,,Alexandria,Smouha,9,1,1,2025-03-27,0,5309,31.204297,29.929444
1320,Misr Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2024-09-01,0,9967,31.210938,29.94139
1321,Health Gate Pharmacy,,Alexandria,Smouha,9,23,1,2025-03-20,0,2071,31.210159,29.938697
1322,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-05-01,0,3531,31.207109,29.948117
1323,Family Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-09-18,0,3438,31.210878,29.93442
1324,Mira Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-15,0,9282,31.204432,29.944526
1325,El Nasr Pharmacy,,Alexandria,Smouha,8,23,1,2025-06-23,0,8189,31.216011,29.94135
1326,Life Line Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-12-20,0,1761,31.205095,29.953637
1327,Seha First Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-07-24,0,6421,31.211984,29.932501
1328,El Tourath Pharmacy - Helwan,,Alexandria,Smouha,9,2,1,2025-03-10,1,8824,31.206021,29.940096
1329,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-11-23,1,4343,31.21422,29.94778
1330,Silver Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-11-09,0,9353,31.209294,29.932481
1331,El Nasr Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-06-20,0,6346,31.205381,29.951384
1332,Star Care Pharmacy - Oct City,,Alexandria,Smouha,9,1,1,2024-09-23,1,5106,31.217366,29.935447
1333,Union Pharm - Oct City,,Alexandria,Smouha,9,23,1,2025-06-23,0,2488,31.200589,29.946959
1334,El Tourath Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-20,1,7709,31.211626,29.954105
1335,El Zahraa Pharmacy - Nozha,,Alexandria,Smouha,9,2,1,2024-12-26,1,4568,31.20838,29.928682
1336,El Shifa Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-18,0,4502,31.218969,29.944401
1337,Elite Pharmacy,,Alexandria,Smouha,8,23,1,2025-09-03,0,8686,31.205454,29.932491
1338,City Care Pharmacy,,Alexandria,Smouha,8,23,1,2025-08-28,1,7578,31.209404,29.958543
1339,Better Life Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-03-11,0,8531,31.20689,29.929883
1340,Seha First Pharmacy - Smouha,,Alexandria,Smouha,10,1,1,2025-02-07,0,2429,31.209356,29.942578
1341,Omega Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-12-03,0,1161,31.215574,29.938226
1342,Nile Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-05,0,5363,31.207331,29.946759
1343,Nile Care Pharmacy - Obour,,Alexandria,Smouha,9,23,1,2025-09-09,0,5493,31.209725,29.933571
1344,Elite Pharmacy - Dokki,,Alexandria,Smouha,10,23,1,2025-03-27,0,9387,31.204885,29.945496
1345,Sunrise Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-28,0,4403,31.215007,29.93882
1346,Omega Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-07-16,0,9032,31.203794,29.948763
1347,Blue Wave Pharmacy,,Alexandria,Smouha,9,1,1,2024-10-26,0,5740,31.211054,29.930861
1348,Alpha Pharma - Square,,Alexandria,Smouha,9,23,1,2024-11-11,0,6923,31.204307,29.940081
1349,Star Care Pharmacy - Agami,,Alexandria,Smouha,9,23,1,2025-07-27,0,8616,31.214765,29.945632
1350,Family Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-09-06,0,7500,31.206713,29.931666
1351,El Nasr Pharmacy - Obour,,Alexandria,Smouha,8,23,1,2025-01-09,0,8932,31.205366,29.952727
1352,Silver Care Pharmacy - Dokki,,Alexandria,Smouha,8,1,1,2025-05-11,0,1223,31.217147,29.935694
1353,Sunrise Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2025-06-19,1,6173,31.201494,29.948951
1354,Dr Medhat Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-03,0,6960,31.21368,29.955883
1355,El Baraka Pharmacy - Obour,,Alexandria,Smouha,8,23,1,2024-11-29,2,7043,31.204909,29.927872
1356,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-08-15,0,9599,31.21878,29.942459
1357,Alpha Pharma - Smouha,,Alexandria,Smouha,8,23,1,2024-10-28,2,5669,31.202772,29.935231
1358,Care 24 Seven - Nozha,,Alexandria,Smouha,9,1,1,2025-03-14,0,6013,31.210187,29.956507
1359,Star Care Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-07-30,0,2576,31.205612,29.928909
1360,Health Gate Pharmacy - Helwan,,Alexandria,Smouha,8,23,1,2025-06-01,0,1003,31.208775,29.941964
1361,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-09-07,0,4721,31.212,29.941011
1362,Dr Medhat Pharmacy - Montaza,,Alexandria,Smouha,8,2,1,2025-06-13,0,3801,31.20578,29.949441
1363,El Baraka Pharmacy,,Alexandria,Smouha,9,23,1,2024-09-23,0,3066,31.211295,29.935784
1364,Angel Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2024-10-25,1,1978,31.203032,29.944024
1365,El Shifa Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-24,0,5192,31.215423,29.941924
1366,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-30,0,8379,31.206022,29.95106
1367,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-28,0,8489,31.211133,29.930906
1368,Union Pharm - Smouha,,Alexandria,Smouha,10,23,1,2025-08-04,0,6767,31.203098,29.941363
1369,Better Life Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-02,2,5558,31.213573,29.949245
1370,Elite Pharmacy - Haram,,Alexandria,Smouha,9,23,1,2025-03-08,0,1466,31.208348,29.934128
1371,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-09-08,1,9779,31.203927,29.950833
1372,El Zahraa Pharmacy - Montaza,,Alexandria,Smouha,8,1,1,2024-12-12,0,7491,31.21585,29.935713
1373,El Nasr Pharmacy - Square,,Alexandria,Smouha,8,1,1,2025-02-23,0,5158,31.203351,29.944374
1374,El Tourath Pharmacy,,Alexandria,Smouha,8,23,1,2025-07-15,1,6159,31.21321,29.956151
1375,Misr Pharmacy,,Alexandria,Smouha,8,23,1,2025-03-12,1,5726,31.208701,29.929104
1376,Pharma Plus,,Alexandria,Smouha,9,23,1,2025-04-05,0,6461,31.218857,29.941553
1377,El Tourath Pharmacy - Rehab View,,Alexandria,Smouha,9,23,1,2025-02-26,0,3750,31.203881,29.933916
1378,El Shifa Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-01-16,0,5483,31.210165,29.95526
1379,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-23,0,6139,31.204451,29.929824
1380,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-05-19,0,9414,31.208438,29.943458
1381,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2024-12-13,0,3958,31.21302,29.94005
1382,Sunrise Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-09-23,0,9562,31.20881,29.947765
1383,Golden Care Pharmacy,,Alexandria,Smouha,8,23,1,2025-04-04,0,4060,31.210332,29.933613
1384,Family Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2025-07-28,0,2166,31.203983,29.945258
1385,Hope Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-02-22,1,4673,31.214163,29.943198
1386,Health Gate Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-08-22,0,3410,31.203221,29.949025
1387,El Tourath Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-08,0,1485,31.211576,29.931061
1388,El Hokama Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-15,0,4203,31.204064,29.9395
1389,Misr Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-03,0,3372,31.212271,29.946083
1390,El Zahraa Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2025-08-25,0,2984,31.209843,29.931741
1391,El Baraka Pharmacy - Marg,,Alexandria,Smouha,8,2,1,2025-07-31,0,6626,31.203698,29.953595
1392,El Shifa Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2025-02-11,0,8347,31.216989,29.938022
1393,El Baraka Pharmacy - Square,,Alexandria,Smouha,9,1,1,2025-01-06,0,2276,31.203196,29.947772
1394,Elite Pharmacy,,Alexandria,Smouha,9,1,1,2024-10-08,0,1958,31.212919,29.953326
1395,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-15,0,9711,31.205775,29.927293
1396,Seha First Pharmacy,,Alexandria,Smouha,9,1,1,2024-12-15,1,3572,31.218719,29.946564
1397,City Care Pharmacy - Obour,,Alexandria,Smouha,9,23,1,2025-06-17,2,4771,31.206157,29.933293
1398,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-08-20,0,5090,31.207705,29.956151
1399,El Tourath Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-03-16,0,2945,31.201425,29.928007
1400,Elite Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-01-22,0,3425,31.210202,29.944382
1401,Angel Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-07-09,2,1186,31.215168,29.937241
1402,Golden Care Pharmacy,,Alexandria,Smouha,9,23,1,2024-09-10,0,5213,31.20709,29.945438
1403,Care 24 Seven,,Alexandria,Smouha,9,23,1,2024-12-02,0,7359,31.209926,29.936296
1404,Omega Pharmacy - Oct City,,Alexandria,Smouha,9,1,1,2024-09-18,2,6516,31.204947,29.944288
1405,Misr Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-10-24,0,9067,31.21406,29.941415
1406,El Hokama Pharmacy - Imbaba,,Alexandria,Smouha,10,1,1,2024-10-25,1,8316,31.206292,29.949644
1407,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-28,0,2711,31.212161,29.931138
1408,Life Line Pharmacy,,Alexandria,Smouha,9,23,1,2024-09-21,2,2998,31.205705,29.939392
1409,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-08-09,0,1134,31.213722,29.949642
1410,Angel Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-22,0,8968,31.211058,29.932189
1411,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-10-23,0,7318,31.206462,29.950633
1412,Omega Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-07-14,0,4525,31.216863,29.935687
1413,El Zahraa Pharmacy - Oct City,,Alexandria,Smouha,8,23,1,2025-01-09,0,7847,31.20324,29.946002
1414,Alpha Pharma - Smouha,,Alexandria,Smouha,9,23,1,2024-12-17,0,4308,31.210988,29.954103
1415,Angel Pharmacy - Faisal,,Alexandria,Smouha,9,2,1,2025-04-04,0,4313,31.208871,29.928852
1416,Angel Pharmacy,,Alexandria,Smouha,8,23,1,2025-09-15,0,8690,31.220435,29.943255
1417,Alpha Pharma - Smouha,,Alexandria,Smouha,9,23,1,2024-12-27,0,3666,31.204252,29.936341
1418,Care 24 Seven,,Alexandria,Smouha,10,23,1,2024-11-20,0,6133,31.210444,29.957479
1419,Angel Pharmacy - Marg,,Alexandria,Smouha,10,23,1,2025-08-29,0,4055,31.203273,29.931164
1420,El Shifa Pharmacy,,Alexandria,Smouha,9,23,1,2024-09-11,0,6201,31.210129,29.944547
1421,Ebn Sina Pharmacy,,Alexandria,Smouha,9,23,1,2025-07-09,0,6300,31.213723,29.939648
1422,Elite Pharmacy,,Alexandria,Smouha,8,23,1,2025-07-29,1,5453,31.207218,29.947557
1423,Misr Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2025-06-23,0,4828,31.209677,29.936706
1424,Better Life Pharmacy - Shubra,,Alexandria,Smouha,8,23,1,2025-06-14,0,6687,31.205772,29.944933
1425,City Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-15,0,2982,31.215637,29.939284
1426,City Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-06,0,8286,31.205937,29.949402
1427,El Shifa Pharmacy,,Alexandria,Smouha,9,23,1,2025-07-27,0,7245,31.210674,29.930233
1428,Omega Pharmacy,,Alexandria,Smouha,9,1,1,2025-07-10,0,4503,31.203536,29.940551
1429,El Hokama Pharmacy,,Alexandria,Smouha,10,1,1,2025-02-06,0,7380,31.214249,29.948589
1430,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-04-01,0,9298,31.207072,29.932315
1431,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-11-17,0,1802,31.20141,29.952151
1432,El Hokama Pharmacy - Shubra,,Alexandria,Smouha,8,1,1,2025-02-14,0,3212,31.216587,29.936464
1433,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,2,1,2025-05-16,2,2173,31.202365,29.946328
1434,Alpha Pharma,,Alexandria,Smouha,8,2,1,2025-02-15,0,3313,31.212455,29.953387
1435,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-19,0,9563,31.207275,29.92921
1436,Blue Wave Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2025-05-12,0,2314,31.219941,29.947189
1437,Family Pharmacy,,Alexandria,Smouha,8,23,1,2025-03-12,0,6855,31.203775,29.933407
1438,Nile Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-08-09,0,3042,31.21038,29.95804
1439,El Zahraa Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-01-09,0,6250,31.204024,29.930641
1440,Golden Care Pharmacy,,Cairo,Nasr City,8,1,2,2025-01-06,0,1720,30.049531,31.358165
1441,El Nasr Pharmacy,,Cairo,Nasr City,10,23,2,2025-05-26,1,9293,30.060475,31.351022
1442,El Nasr Pharmacy,,Cairo,Nasr City,9,23,2,2024-12-14,0,2643,30.048041,31.371925
1443,Mira Pharmacy - Obour,,Cairo,Nasr City,8,1,2,2024-09-07,0,8110,30.055557,31.342888
1444,Misr Pharmacy - Haram,,Cairo,Nasr City,9,23,2,2025-01-19,0,8234,30.044621,31.367315
1445,Star Care Pharmacy,,Cairo,Nasr City,9,1,2,2024-09-07,0,5477,30.062571,31.355982
1446,Mira Pharmacy - Square,,Cairo,Nasr City,10,23,2,2025-05-09,0,3817,30.051605,31.334099
1447,Mira Pharmacy,,Cairo,Nasr City,9,23,2,2025-04-20,0,8995,30.04361,31.355021
1448,Better Life Pharmacy,,Cairo,Nasr City,9,1,2,2025-08-31,0,7839,30.057344,31.36616
1449,El Zahraa Pharmacy,,Cairo,Nasr City,9,23,2,2025-05-06,0,6036,30.046914,31.347809
1450,Hope Pharmacy - Zayed,,Cairo,Nasr City,8,23,2,2025-07-04,0,3812,30.053588,31.368902
1451,El Baraka Pharmacy - Nasr,,Cairo,Nasr City,10,2,2,2025-07-21,0,3156,30.062946,31.346341
1452,Al Nozha Pharmacy - Nasr,,Cairo,Nasr City,9,1,2,2025-02-15,0,8643,30.048238,31.340274
1453,Al Amal Pharmacy - Maadi,,Cairo,Nasr City,10,23,2,2025-02-19,0,4924,30.056209,31.330061
1454,Pharma Plus,,Cairo,Nasr City,9,23,2,2024-11-01,0,3930,30.043591,31.362711
1455,Star Care Pharmacy - Nasr,,Cairo,Nasr City,10,23,2,2025-06-25,0,9243,30.059861,31.369083
1456,El Hokama Pharmacy,,Cairo,Nasr City,9,23,2,2024-11-04,0,9876,30.048756,31.343379
1457,Family Pharmacy - Nozha,,Cairo,Nasr City,9,23,2,2024-09-02,2,1368,30.044056,31.332865
1458,Pharma Plus - Nasr,,Cairo,Nasr City,9,2,2,2025-07-02,0,6410,30.059886,31.337425
1459,Mira Pharmacy,,Cairo,Nasr City,9,23,2,2025-07-29,1,5387,30.049305,31.375643
1460,Angel Pharmacy - Montaza,,Cairo,Nasr City,10,23,2,2024-12-07,1,4058,30.05283,31.359812
1461,Angel Pharmacy - Dokki,,Cairo,Nasr City,8,23,2,2024-09-07,0,1949,30.059084,31.349156
1462,Dr Medhat Pharmacy - Nasr,,Cairo,Nasr City,10,23,2,2025-03-06,0,9268,30.049291,31.369526
1463,Mira Pharmacy - Nasr,,Cairo,Nasr City,8,1,2,2025-09-02,1,2456,30.056824,31.34217
1464,Elite Pharmacy - Imbaba,,Cairo,Nasr City,9,2,2,2025-03-13,0,9326,30.045652,31.365659
1465,Green Leaf Pharmacy,,Cairo,Nasr City,9,23,2,2024-11-08,0,2310,30.059058,31.354484
1466,Alpha Pharma - Nasr,,Cairo,Nasr City,9,23,2,2025-02-18,0,2157,30.049829,31.336134
1467,Hope Pharmacy - Nasr,,Cairo,Nasr City,9,23,2,2025-01-31,0,7510,30.043713,31.354105
1468,Health Gate Pharmacy,,Cairo,Nasr City,9,23,2,2024-09-12,1,7968,30.058494,31.363745
1469,City Care Pharmacy,,Cairo,Nasr City,8,2,2,2025-02-20,0,2584,30.048648,31.35012
1470,Life Line Pharmacy - Nasr,,Cairo,Nasr City,9,1,2,2025-05-10,0,5276,30.054444,31.371753
1471,El Baraka Pharmacy - Nasr,,Cairo,Nasr City,8,23,2,2024-10-12,1,2506,30.06277,31.344129
1472,Nile Care Pharmacy - Dokki,,Cairo,Nasr City,8,23,2,2025-04-09,0,8650,30.046607,31.338967
1473,City Care Pharmacy - Zayed,,Cairo,Nasr City,9,23,2,2024-09-10,0,5720,30.057232,31.333882
1474,Hope Pharmacy - Imbaba,,Cairo,Nasr City,9,1,2,2025-05-27,0,7636,30.039747,31.362757
1475,Star Care Pharmacy,,Cairo,Nasr City,8,23,2,2025-03-03,0,5769,30.059336,31.368715
1476,Union Pharm - Nasr,,Cairo,Nasr City,10,23,2,2025-01-18,0,6868,30.051883,31.344346
1477,Care 24 Seven - Nasr,,Cairo,Nasr City,10,23,2,2025-03-22,0,8778,30.044474,31.33382
1478,Al Amal Pharmacy - Smouha,,Cairo,Nasr City,9,23,2,2025-01-09,0,2620,30.058278,31.334356
1479,Better Life Pharmacy,,Cairo,Nasr City,8,23,2,2024-12-28,0,7927,30.048958,31.376392
1480,Mira Pharmacy - Marg,,Cairo,Nasr City,9,23,2,2024-09-23,0,8723,30.05311,31.360443
1481,Family Pharmacy - Shubra,,Cairo,Nasr City,9,2,2,2025-03-05,0,2369,30.061271,31.350439
1482,Misr Pharmacy - Nasr,,Cairo,Nasr City,9,23,2,2024-10-08,0,9330,30.048798,31.369116
1483,Elite Pharmacy - Nasr,,Cairo,Nasr City,8,23,2,2025-07-24,0,9803,30.057422,31.342269
1484,Union Pharm,,Cairo,Nasr City,9,23,2,2025-02-17,0,8408,30.045639,31.362642
1485,El Nasr Pharmacy - Nozha,,Cairo,Nasr City,8,23,2,2025-02-16,1,1661,30.057935,31.357285
