invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
311510,el SALAMTEK OBOUR 04,713,03092025,13:30:22,,,,4720.77,710.78,4009.99,7,CLSD
311511,EL Salamtek Obour Branch 1,701,12092025,08:56:01,,Giza,Faisal,5610.71,762.23,4848.48,5,CLSD
311512,EL Salamtek Obour Branch 1,721,23092025,14:09:21,,,,6368.12,869.58,5498.54,9,CLSD
311516,PY/Star Care,705,04092025,13:55:35,Nasr City 127 Geish st. bridge,,,1630.41,183.43,1446.98,2,
311517,PH Star Care br.2729,763,16092025,09:23:33,,,,2004.60,407.38,1597.22,7,
311520,PY/El Hokama Nasr 6th Zone,781,28092025,08:19:10,Salah Salem 58 - NASR CITY,,,2895.26,442.47,2452.79,3,
311521,EL FAMILY (2),747,16092025,16:43:01,,,,4357.74,464.97,3892.77,10,CLSD
311522,El-family Mall413,721,10092025,08:41:20,,,,6763.20,682.03,6081.17,11,CLSD
311523,Sunrise Branch 2277,768,20092025,12:35:58,,,,1461.29,210.23,1251.06,4,
311524,Sunrise Branch 2277,721,27092025,16:17:11,,,,1233.25,145.82,1087.43,4,CLSD
311525,PY/sunrise (2),717,06092025,14:30:01,,,,1598.98,139.64,1459.34,5,CLSD
311526,PH Metro,762,04092025,08:35:54,,,,1227.33,233.03,994.30,6,CLSD
311527,ell El Zahraa Faisal85,731,24092025,12:19:26,,,,2975.80,579.61,2396.19,9,CLSD
311528,PY/El Nasr ozha Branch 1,762,17092025,09:30:44,NASR CITY 15 Horreya st. metro,,,1865.59,317.29,1548.30,7,
311529,MIRA BANHA Branch 1,714,22092025,12:01:25,Nasr City 118 Mustafa Nahhas st. metro,,,7089.98,755.02,6334.96,15,CLSD
311530,MIRA BANHA Branch 1,744,02092025,08:45:42,"233 Horreya st., near school, Nasr  City",,,7560.69,659.86,6900.83,11,CLSD
311531,MIRA BANHA (2)29,782,22092025,12:30:50,120 gas station Nars City,,,6002.13,1010.39,4991.74,7,
311534,EL ELITE NASR Station St.40,735,19092025,08:23:33,Mustafa Nahhas 50 - nasr city,,,2610.22,477.84,2132.38,5,
311537,Better Life Nasr 04,732,27092025,09:48:41,"233 Mustafa Nahhas st., near market, Nsar City",,,7361.31,1665.20,5696.11,4,CLSD
311538,PY/golde ncare Branch 2,707,20092025,12:12:04,Autostrad 219 - Nsr City,,,3190.47,407.95,2782.52,10,CLSD
311540,el alpha pharma shubra 011,720,13092025,13:26:13,Nasr iCty 165 Industrial Zone st. bridge,,,3577.40,816.24,2761.16,4,
311542,el al amal,725,13092025,17:14:33,145 police st. Nasr Ctiy,,,4100.38,959.03,3141.35,8,CLSD
311543,EL Al mAal-A,716,16-Sep-2025,12:59:32,,,,5824.78,574.68,5250.10,4,CLSD
311544,El-Al Amal Main Road,748,20092025,13:18:10,,,,5066.77,520.12,4546.65,7,
311545,el Betre Life 04,748,22092025,11:30:57,109 school Naasr City,,,9867.28,971.37,8895.91,11,CLSD
311547,EL union pharm br.2,741,02092025,15:13:23,Nar City 106 Port Said st. square,,,2217.75,462.18,1755.57,5,CLSD
311548,UNION PHARM-A,774,19092025,13:39:16,,,,1126.05,125.23,1000.82,6,CLSD
311550,PH El Faraby Nasr 04,770,14092025,10:52:40,,,,8530.20,1106.25,7423.95,9,CLSD
311551,PH El Shifa Nasr,721,12092025,14:39:02,,,,6131.03,607.09,5523.94,10,
311552,PY/el shifa cot city,719,04092025,10:01:35,"168 9th District st., near market, Nasr City",,,6596.57,1480.00,5116.57,9,CLSD
311553,PH el shifa otc city 6th Zone,739,16092025,08:49:14,138 bridge Nasr City,,,4181.61,951.62,3229.99,10,CLSD
311554,Ph/BETTER LIFE Station St.,748,04092025,09:50:52,,,,3473.46,313.14,3160.32,5,CLSD
311555,Ph/BETTER LIFE Station St.,768,02092025,14:18:12,,Giza,Faisal,3800.07,729.72,3070.35,6,
311556,HOPE Branch 2,721,06092025,08:48:05,117 police st. NASR CITY,,,8348.29,940.24,7408.05,12,
311560,EL hope nozha br.2,701,07092025,17:11:44,Nasr City 124 Horreya st. market,,,2738.89,320.24,2418.65,8,CLSD
311561,EL hope nozha br.2,716,28092025,15:13:33,,,,5773.74,652.24,5121.50,4,
311562,e hope nozha br.2,700,27092025,11:55:34,Industrial Zone 132 - Nasr City,,,1805.30,267.79,1537.51,2,
311563,SUNRISE br.2699,766,24092025,08:40:09,,,,6718.64,1732.11,4986.53,11,CLSD
311564,SUNRISE b.2699,771,17092025,14:24:48,,,,3868.93,572.90,3296.03,7,CLSD
311565,SUNRISE br.2699,748,12092025,16:04:45,,,,12405.39,784.00,11621.39,10,CLSD
311566,el SUNRISE Branch 2,728,13092025,08:50:02,Geish 85 - Nas City,,,4263.42,518.62,3744.80,8,
311567,PH DrM edhat Montaza tation St.,780,21092025,12:17:09,Autostrad 83 - nasr city,,,7646.66,1274.04,6372.62,8,CLSD
311568,el DR MEDHAT MONTAZA Branch 2,744,20092025,10:05:10,Nasr CCity 191 Zayed st. school,Cairo,Nasr City,5422.33,613.20,4809.13,8,
311569,PY/Care 24 Seven br.2,735,01-Sep-2025,11:56:56,,,,1852.68,240.50,1612.18,8,
311570,Ph/care 24 seven-A,732,13092025,15:28:14,NASR CITY 47 Haram st. police st.,,,5155.61,1055.46,4100.15,5,
311574,AL NOZHA NOZHA50,767,14092025,08:47:49,Salah Salem 146 - NasrCity,,,1720.80,178.25,1542.55,2,CLSD
311575,el better life 6th Zone,700,27092025,15:16:16,,,,2079.65,320.49,1759.16,4,
311576,el better life 6th Zone,772,07092025,15:47:47,,,,3424.44,579.22,2845.22,4,CLSD
311577,PH FAMILY WH-891,741,18-Sep-2025,08:03:00,,,,3157.23,620.68,2536.55,7,CLSD
311578,el EBN SINA-A689,721,20092025,15:46:58,Industrial Zone 30 - Nasr City,,,4994.26,452.24,4542.02,7,
311579,El-EBN SINA,703,04092025,16:02:04,"139 Corniche st., near metro, Nars City",,,7311.37,671.58,6639.79,15,CLSD
311580,APHA PHARMA693,743,07092025,12:53:53,163 square Nas City,,,382.88,35.72,347.16,2,CLSD
311581,Ph/Alpha Pharma,721,25092025,10:40:43,,,,2728.88,271.51,2457.37,5,CLSD
311582,el Golden Car eNasr Mall,779,14092025,13:34:53,,Cairo,Nasr City,3348.94,837.41,2511.53,9,CLSD
311583,Goollden Care (2)791,700,27092025,10:07:56,"188 Corniche st., near market, Nasr City",,,8316.40,1160.39,7156.01,14,CLSD
311584,GOLDENCCARE,777,10092025,10:52:49,,,,7181.58,1313.62,5867.96,8,CLSD
311585,El Zahraa 6th Zone679,757,20092025,16:01:06,205 police st. Nasr City,,,3616.65,890.26,2726.39,7,CLSD
311587,El- lAmal Nasr 6th Zone,751,13092025,13:34:11,9th District 232 - Nasr City,,,4603.71,1084.04,3519.67,4,CLSD
311588,El--HOPE NASR br.212,722,06092025,13:38:26,Geish 28 - Nasr City,,,2189.56,205.48,1984.08,5,
311591,Ph/Sunrise Mall,779,11092025,13:57:58,"6 Geish st., near park, nasr city",,,4288.78,1053.89,3234.89,6,
311592,sunrise,768,25092025,15:45:55,"136 Abbas st., near square, Nasr City",Cairo,Nasr City,6166.11,994.82,5171.29,12,CLSD
311593,EL ebn sina 04,711,22092025,14:12:41,,,,6969.51,1196.01,5773.50,11,
311594,EL ebn sina 04,757,07092025,10:55:54,Corniche 166 - Nasr City,,,719.30,149.29,570.01,4,
311595,el El Hokama Nasr-A,703,11092025,11:13:50,NASR CITY 111 Haram st. square,,,8169.48,595.56,7573.92,9,CLSD
311598,PH star care faisal Main Road,777,15092025,14:46:11,188 market nasr city,,,2824.79,529.88,2294.91,4,
311600,GoldenCare (2),723,01092025,08:12:56,,,,2045.76,157.74,1888.02,3,
311601,PH Golden Care (2),769,25-Sep-2025,14:39:48,Nasr City 166 Gamet Dewal st. square,Cairo,Nasr City,8776.56,1651.08,7125.48,10,CLSD
311602,Mira Square,764,07-Sep-2025,12:40:46,Autostrad 232 - Nasr City,,,2522.06,539.23,1982.83,4,
311603,Mira Square Branch 1,748,14092025,08:36:29,Geish 179 - Nasr City,Giza,Mohandessin,3087.03,152.95,2934.08,6,
311607,el Family Haram,710,25092025,11:13:53,NasrCity 2 Geish st. school,,,2542.88,688.01,1854.87,6,CLSD
311609,EL ANGEL NASR,771,21092025,10:59:55,nasr city 130 Nile st. market,,,5873.14,847.01,5026.13,4,CLSD
311610,E ANGEL NASR,778,16092025,17:18:48,,,,6875.61,1172.89,5702.72,8,
311612,PY/Seah First Imbaba-A,758,03092025,09:40:31,Abbas 208 - Nasr City,,,2806.68,454.14,2352.54,7,CLSD
311617,al nohza nasr (2),728,27092025,13:50:45,119 gas station Nsr City,,,5766.63,741.16,5025.47,9,
311618,EL AL WH-932,752,21-Sep-2025,13:28:08,38 market Nasr City,,,6521.82,1698.12,4823.70,7,
311620,EL SEHA WH-934,738,12-Sep-2025,16:30:17,,,,3882.58,856.70,3025.88,3,CLSD
311621,EL Alpha Pharma Branch 2,725,24092025,15:56:00,119 gas station Nasr City,Alexandria,Smouha,5281.35,1121.59,4159.76,7,
311622,el misr zayed Station St.,740,09092025,10:16:02,"104 Faisal st., near market, NASR CITY",,,8814.40,1771.39,7043.01,13,CLSD
311623,PY/AAL AMAL 0011,739,23-Sep-2025,09:59:07,93 hospital Nasr City,,,1356.33,324.73,1031.60,5,CLSD
311624,El-ELITE BANHA Branch 1,769,07-Sep-2025,15:53:41,63 park NasrC ity,,,3498.38,533.55,2964.83,9,CLSD
311628,PH El Shifa Square-A,731,28092025,15:32:51,Nsar City 233 Geish st. gas station,,,5372.53,1328.78,4043.75,7,CLSD
311629,El Shifa Square 6th Zone,773,02092025,15:41:00,83 mosque NasrC ity,,,7312.06,952.81,6359.25,14,CLSD
311630,PY/El Shifa Square 011,706,12092025,14:10:21,Autostrad 63 - Nasr iCty,,,1960.75,413.55,1547.20,3,
311631,El Shifa Square894,717,02092025,16:12:47,Corniche 69 - NASR CITY,Cairo,Nasr City,5158.43,529.78,4628.65,7,
311633,Ph/Ebn Sina Nasr Station St.,719,08-Sep-2025,08:32:02,,,,15752.58,3664.67,12087.91,13,
311634,Ange lNasr 6th Zone,744,14092025,14:14:25,nasr city 20 Corniche st. gas station,,,3289.66,312.92,2976.74,6,CLSD
311635,EL ANGEL NASR MMall,713,08092025,08:33:43,"205 Industrial Zone st., near gas station, NASR CITY",,,3715.53,520.85,3194.68,6,
311636,Merto Obour,729,20092025,14:04:26,,,,7176.70,1152.18,6024.52,15,
311637,Metro Obour 04,717,11092025,08:14:38,Nasr City 145 Gamet Dewal st. market,,,3103.45,433.77,2669.68,5,
311638,El Faraby Nasr Braanch 2,771,06092025,14:13:01,"104 Haram st., near gas station, nasr city",,,7061.85,1010.61,6051.24,8,CLSD
311639,Better Life Maadi Main Road,731,16092025,13:45:51,Nasr City 71 Port Said st. school,,,1509.70,235.82,1273.88,3,
311640,Ph/silver care asr-A,701,04092025,12:57:36,"74 Geish st., near park, Nasr City",,,6661.05,982.50,5678.55,11,
311641,Union Pharm Nasr Branch2 773,730,23-Sep-2025,12:39:28,Faisal 93 - nasr city,,,293.01,70.41,222.60,2,
311642,PY/city acre,720,04-Sep-2025,12:12:44,146 police st. Nasr City,,,3960.63,888.72,3071.91,10,
311643,City Cre Main Road,720,22092025,16:26:33,"233 Gamet Dewal st., near park, Nasr Ciity",,,4492.07,1003.97,3488.10,7,CLSD
311644,PY/al amal nasr,739,20092025,11:15:08,Nasr 22 - Nasr City,,,2795.39,582.07,2213.32,6,CLSD
311646,Sunrise Marg-A,708,21092025,10:18:56,Industrial Zone 81 - Nasr  City,Giza,Faisal,1515.39,393.07,1122.32,6,CLSD
311647,Ph/Sunrise Marg 011,758,23092025,11:37:14,,,,2813.90,397.25,2416.65,6,
311648,el al amal nars Mall,762,01092025,09:27:51,Sudan 108 - Nasr City,,,2869.81,545.21,2324.60,4,
311650,EL FAARBY NASR 011864,755,20-Sep-2025,14:42:03,nasr city 120 Sudan st. police st.,,,4723.65,534.11,4189.54,5,
311651,Ph/mira mibababr.2,739,18092025,12:49:07,79 metro Nasr City,,,10329.87,2291.59,8038.28,12,
311652,MIRA IMBAABA (2),743,26092025,10:17:02,Nasr 73 - nasr city,Giza,Mohandessin,3121.22,172.60,2948.62,5,CLSD
311653,alpha pharma nasr Main Road,762,07092025,11:59:32,nasr city 175 Abbas st. hospital,Cairo,Nasr City,7868.87,1394.94,6473.93,11,
311654,ALPHA PHARMA NASR 6th Zone,729,04-Sep-2025,09:45:36,Nasr Cty 124 Autostrad st. police st.,,,4601.19,614.07,3987.12,7,
311655,PH el baraka Station St.,745,18092025,14:58:35,"182 Port Said st., near square, Nars City",,,4992.49,894.70,4097.79,5,CLSD
311656,Ph/SUNRISE MARG,710,05092025,08:28:02,Nasr iCty 15 Port Said st. school,,,1616.88,445.09,1171.79,2,
311657,PY/El Hokama Nasr,720,13092025,13:27:01,,,,658.89,182.25,476.64,4,
311658,Ph/EL HOKAMA NASR br.2,733,23092025,11:47:34,178 bridge Nasr City,,,4265.47,677.56,3587.91,3,
311660,PH EL HHOKMA NASR,731,15092025,13:46:32,Haram 99 - Nasr City,Giza,Faisal,2936.30,530.64,2405.66,5,
311661,Ph/EL HOKAMA NASR br.2,740,25092025,08:13:37,106 market nasr city,Giza,Mohandessin,3098.49,647.46,2451.03,5,
311662,PH mis rnasr (2),743,06092025,08:34:13,Nasr City 16 Sudan st. park,,,2476.61,222.73,2253.88,7,
311663,PY/SUNRISE NASR,773,14092025,12:36:50,,,,1395.22,155.30,1239.92,4,
311667,Elite 011,709,06-Sep-2025,12:28:19,Nasr City 47 Geish st. square,,,5183.33,1250.52,3932.81,11,
311668,PY/Elite Station St.,728,05092025,13:27:19,NASR CITY 222 Autostrad st. market,,,5126.05,771.67,4354.38,13,
311670,EL omega nasr-A,737,28092025,14:06:23,Nasr City 9 Salah Salem st. market,,,2154.45,500.10,1654.35,5,CLSD
311671,El-Metro Nasr Branch 1,752,13092025,11:04:36,,,,5244.39,1196.93,4047.46,8,
311672,Dr Medhat Mall,756,03092025,12:13:19,"193 Sudan st., near market, Nasr City",,,3825.24,994.68,2830.56,4,
311673,EL Elite Maadi 04,703,03092025,13:41:29,,,,3744.07,330.92,3413.15,10,CLSD
311674,El Nasr Nasr Main Road,745,20092025,09:23:14,Corniche 11 - Nas rCity,,,8881.72,1177.16,7704.56,9,
311675,PY/Nile Care Banha 04,754,04092025,08:24:27,Port Said 1 - Nasr City,,,3614.12,622.02,2992.10,10,
311676,el Nile Care Banha501,774,12092025,15:47:43,,,,1212.69,155.22,1057.47,4,
311678,El-nile care faisal Main Road191,732,27092025,11:07:55,,,,2677.47,580.45,2097.02,5,CLSD
311679,NILE CARE FAISAL 011,730,22092025,13:06:02,,Giza,Faisal,6503.94,1395.76,5108.18,6,CLSD
311680,El Nasr Mlal,748,23092025,08:57:11,,,,13013.98,993.67,12020.31,12,
311681,CARE 2 4SEVEN SQUARE,748,27092025,10:58:48,,,,3643.89,308.06,3335.83,10,CLSD
311682,carre 24 seven square Station St.,752,15092025,12:06:19,19 square Faiasl,Giza,Faisal,1348.24,331.41,1016.83,5,
311683,el zahraa Branch 1,712,17092025,08:34:14,,Giza,Mohandessin,4024.07,645.42,3378.65,8,CLSD
311684,PH AL AMAL-A,728,20092025,09:50:18,9th District 23 - faisal,Alexandria,Smouha,2473.65,432.27,2041.38,5,
311687,El-Golden Care 6th Zone,775,11092025,15:27:50,Mustafa Nahhas 230 - Faisal,,,4204.61,1048.02,3156.59,7,
311688,sunrise faisal 04197,737,07092025,11:04:22,224 gas station Faisal,,,13776.09,2891.14,10884.95,15,
311691,Salamtek Fasial (2),768,19092025,11:11:18,"196 9th District st., near square, FAISAL",,,9070.01,1535.81,7534.20,12,
311692,EL Salamtek Faisal (2)706,751,02092025,09:14:30,,,,7873.83,1843.84,6029.99,8,CLSD
311693,PH Salamtek Faisal 04,727,06092025,14:48:26,,,,3818.97,870.96,2948.01,9,CLSD
311694,Family Faisal273,776,16092025,12:48:52,"43 Geish st., near school, Faisal",,,1436.81,216.66,1220.15,4,CLSD
311695,Ph/Pharma Plus Maadi Main Road,752,21092025,11:04:39,63 gas station Faisal,,,1551.90,324.24,1227.66,4,
311696,EL ALPHA PHARMA FAISAL,751,09092025,18:12:34,Faisal 59 Geish st. park,,,4673.51,1051.22,3622.29,6,
311697,el ALPHA PHAMA FAISAL (2),775,09-Sep-2025,18:27:05,Port Said 146 - Fiasal,,,5840.24,1313.61,4526.63,8,
311698,El-el baraka rehb view 011,768,23092025,12:41:51,faisal 7 Salah Salem st. mosque,,,5547.39,856.92,4690.47,6,CLSD
311700,Health Gate 011,736,08092025,08:08:55,"135 Tahrir st., near bridge, faisal",Alexandria,Smouha,3533.02,560.77,2972.25,12,
311701,e lGolden Care 6th Zone,771,10092025,14:41:00,"216 Horreya st., near bridge, Faisal",,,9317.92,1260.81,8057.11,11,
311704,el silver care Station St.827,714,05092025,11:10:04,,,,7349.48,765.43,6584.05,8,
311708,el faraby oct icty,709,09-Sep-2025,08:48:22,"160 Zayed st., near square, Faisal",,,1419.85,376.77,1043.08,2,
311709,El-El Faraby Oct City br.2,700,20092025,13:29:47,Geish 43 - Faisal,,,1809.33,224.63,1584.70,6,
311710,Miar Faisal Branch 1748,704,03092025,10:25:27,,,,7786.04,808.82,6977.22,13,
311711,PY/Family838,711,22092025,13:55:36,Port Said 6 - Faisal,,,3830.48,593.63,3236.85,10,CLSD
311713,EL Al Amal Haram Mall,766,22092025,09:19:51,Faisal 211 Nile st. market,,,6245.67,1634.89,4610.78,10,CLSD
311716,EL Pharma Plus Main Road,737,14092025,10:34:06,,,,4376.30,907.58,3468.72,8,CLSD
311718,Pharma Pllus 04208,721,16092025,08:51:02,,,,3607.07,414.53,3192.54,5,CLSD
311719,SUNRISE FAIISAL 04,723,07092025,08:08:48,,,,3421.32,369.33,3051.99,3,CLSD
311720,el Sunrise Faisal,726,28092025,16:24:46,,,,6032.02,1412.55,4619.47,10,CLSD
311721,SILVE RCARE HELWAN,723,23092025,14:21:07,102 metro faisal,,,2514.72,187.38,2327.34,6,
311722,DR MEDHAT  FASIAL Mall,709,11092025,13:12:27,,,,4482.57,1174.72,3307.85,8,
311724,PY/ebnn sina faisal Station St.,761,11092025,08:50:37,169 police st. Faisal,,,10624.98,1959.16,8665.82,10,
311725,ebn sina faisal Main Road,713,12092025,16:02:45,Port Said 63 - Faissal,,,4250.83,699.13,3551.70,11,CLSD
311727,PH El Faraaby Faisal 04,737,22092025,17:04:16,Faisal 79 Abbas st. gas station,,,3364.00,692.18,2671.82,4,CLSD
311728,El-el faraby faisal Branch 1,780,01092025,15:04:42,110 metro faisal,,,4999.38,839.99,4159.39,9,CLSD
311730,el MISR IMBABA Branch 1,704,16092025,10:41:03,,Alexandria,Smouha,9546.02,848.41,8697.61,14,
311732,EL Sunrise,760,28092025,16:22:28,"131 Faisal st., near park, Faiasl",Giza,Faisal,7713.84,1309.58,6404.26,15,CLSD
311735,El-omega 04,758,02-Sep-2025,13:48:38,Faisal 172 Gamet Dewal st. park,,,1427.90,242.96,1184.94,4,CLSD
311736,PH EL WH-73,753,01092025,08:36:00,,,,1043.78,264.31,779.47,3,CLSD
311737,PH El Hokama Banha,719,23092025,13:34:59,Faisal 196 Tahrir st. market,,,6034.05,1223.82,4810.23,7,
311738,el al nozha faisal br.241,702,07092025,11:34:56,Faaisal 33 Mustafa Nahhas st. square,,,2171.40,319.41,1851.99,3,CLSD
311739,Phh/Pharma Plus Zayed 6th Zone,750,04092025,17:28:38,94 mosque Faiisal,,,3494.33,468.83,3025.50,5,CLSD
311740,el zahraa dokki Mall,754,05092025,14:49:49,Abbas 155 - Faaisal,,,3612.31,461.50,3150.81,5,
311741,El-DDr Medhat Nozha,765,22092025,12:58:08,,,,4597.44,1154.49,3442.95,9,CLSD
311743,PH Dr Medhat Nozha Branch 2,727,18092025,14:29:49,,Giza,Faisal,7914.67,1735.67,6179.00,15,CLSD
311744,Pharma Plus Faisal,758,10092025,15:26:17,,,,1994.57,314.29,1680.28,2,CLSD
311745,EL Starr Care Faisal,772,03092025,14:32:46,Sudan 229 - Faaisal,Giza,Faisal,6086.26,793.76,5292.50,8,CLSD
311746,El-Mira 011,718,16092025,17:02:03,Faisal 146 Industrial Zone st. hospital,,,2163.21,171.82,1991.39,3,
311747,Nile Care612,733,25092025,13:49:02,faisal 231 9th District st. gas station,,,2351.15,450.88,1900.27,6,
311748,misr 6h Zone,763,06092025,13:03:27,,,,4689.35,984.53,3704.82,8,CLSD
311749,Ph/FAMILY AGAMI (2)269,766,16092025,12:59:38,Faisal 14 Gamet Dewal st. police st.,,,2674.42,709.57,1964.85,8,CLSD
311750,PH Better Life Faisal (2)881,754,10092025,13:58:30,,,,900.62,131.72,768.90,4,CLSD
311751,El-salamtek obour Branch 2,779,04092025,13:47:49,,,,2175.83,555.97,1619.86,3,
311754,METR OHARAM 6th Zone,734,15092025,13:36:19,,,,2386.45,389.31,1997.14,5,
311755,PY/golden care square,732,13092025,11:26:03,Faisal 160 Industrial Zone st. gas station,Giza,Faisal,5064.03,984.92,4079.11,8,
311761,CARE 24 WH-98,767,04-Sep-2025,12:27:27,"180 Industrial Zone st., near square, Faisal",,,6946.56,865.59,6080.97,10,CLSD
311763,CARE 24 SEVEN FAISAL 6th Zone,745,03092025,16:35:11,"124 Port Said st., near square, Faisal",,,4755.59,540.89,4214.70,7,CLSD
311764,CARE 24 SEVEN FAISAL 6th Zone,762,22092025,15:45:28,,,,4459.04,760.28,3698.76,10,CLSD
311765,el nasr Branc 1,772,01092025,10:40:00,,,,3220.78,340.99,2879.79,3,CLSD
311766,PH el nasr (2),731,24092025,08:47:06,"20 Abbas st., near park, Faissal",,,2873.53,651.19,2222.34,3,CLSD
311768,el hokama Branch 2976,753,28092025,12:47:54,Fiasal 24 Tahrir st. park,,,5781.18,1243.51,4537.67,7,CLSD
311769,El-EL HOKAMA,725,28092025,14:14:02,,,,5257.98,1015.87,4242.11,9,CLSD
311770,PH FAMILY WH-107,706,27-Sep-2025,15:43:52,,Giza,Mohandessin,2255.47,488.44,1767.03,2,
311771,Ph/Nie CCare Mall,774,24092025,10:56:28,,Alexandria,Smouha,1523.64,185.37,1338.27,6,CLSD
311773,PH MetroF aiisal 6th Zone,725,19092025,15:50:09,,,,2213.41,492.37,1721.04,6,CLSD
311774,El-el baraka Branch 2,756,06092025,12:44:07,169 bridge Faisal,,,2799.00,723.98,2075.02,7,CLSD
311775,El-ell hokama Main  Road,758,09092025,14:16:53,Zayed 168 - FAISAL,Giza,Faisal,4166.93,755.80,3411.13,6,CLSD
311776,el EL ZAHRAA Main Road,773,28092025,13:02:41,80 mosque Faisal,,,4077.45,548.73,3528.72,10,CLSD
311777,el zahraa br.2543,717,18-Sep-2025,09:25:47,,,,4825.28,574.34,4250.94,6,
311778,El Zaahraa Haram Mall,760,01092025,13:55:07,,,,3621.31,505.79,3115.52,4,CLSD
311779,el SEHA FIRST FAISAL,730,10092025,08:04:02,,,,2463.36,627.42,1835.94,2,
311780,Ph/Seha FirstF aisal Branch 1,759,10092025,12:57:21,,,,2471.87,451.69,2020.18,8,CLSD
311782,Ph/SEHA FIRST FAISAL Mlal,760,09092025,14:05:11,,,,5072.24,638.02,4434.22,6,
311783,El-Health Gate Banha 6th Zone,737,09092025,10:01:07,Faial 92 Mustafa Nahhas st. police st.,,,3406.78,873.06,2533.72,6,CLSD
311784,El-City Care Main Road,765,19092025,08:08:42,faisal 136 Geish st. mosque,,,1093.18,229.51,863.67,3,
311789,PH  seha first faisal (2),702,02092025,09:15:00,,,,2420.20,326.44,2093.76,10,
311790,Seha FirstFaisal (2),746,28092025,08:33:29,"190 9th District st., near bridge, Faisal",,,1890.12,239.86,1650.26,7,
311791,CITY CARE HARAM Main Road,721,22092025,23:34:44,,,,1578.71,162.13,1416.58,2,CLSD
311793,elite,725,28092025,10:09:11,"194 Faisal st., near bridge, Faisal",,,2548.52,472.79,2075.73,5,CLSD
311795,PH ELITE br.2,722,28092025,15:38:03,Faisal 211 9th District st. hospital,,,8581.68,1052.69,7528.99,10,CLSD
311796,El Baraka Faisal540,782,16092025,14:38:16,"144 Tahrir st., near school, faisal",,,10860.92,1931.50,8929.42,13,CLSD
311797,el shifa-A852,728,06092025,13:36:51,,,,3174.72,431.33,2743.39,3,CLSD
311798,El-El Faraby Marg,751,03-Sep-2025,14:46:49,,Giza,Faisal,4323.23,1055.94,3267.29,8,
311799,El-Alpha Pharma Square (2)859,727,15092025,13:09:27,Faaisal 12 Geish st. park,,,3149.16,670.09,2479.07,9,
311800,PY/El Zahaa,754,01092025,14:29:29,,Giza,Faisal,5577.40,659.34,4918.06,13,CLSD
311801,El-union pharm rehab view6 th Zone,733,22092025,08:43:23,59 school Fasal,Giza,Faisal,5640.64,763.86,4876.78,7,CLSD
311803,Ph/Silver Care Harm Mall,756,05092025,15:30:28,"68 Faisal st., near police st., Faiisal",,,2718.84,630.55,2088.29,4,
311805,PH silver care haram 6th Zone,753,12092025,08:52:58,Faisal 65 Nile st. hospital,,,1066.87,201.89,864.98,4,CLSD
311806,Ph/SILVER CARE HARAM Main Road,739,15092025,09:42:32,,,,5699.01,1402.59,4296.42,7,CLSD
311808,Silver Care Haram Branch 1539,731,18092025,12:28:31,,,,5375.88,1217.67,4158.21,8,
311810,EL Nile Care-A,712,22092025,09:52:54,237 bridge Faissal,,,3596.43,657.30,2939.13,3,
311811,nile care Main Road,778,02092025,15:08:22,68 metro Faiisal,,,2491.70,441.10,2050.60,5,CLSD
311812,el Blue Wave Faisal-A,764,06092025,12:47:46,Faisal 216 - Faisal,,,2919.81,625.43,2294.38,8,CLSD
311813,Blue Wave Faisal Branch 1,701,03092025,12:49:37,Tahrir 106 - Faisal,,,8278.14,1080.55,7197.59,10,CLSD
311814,family nozha,708,08092025,12:08:36,Autostrad 29 - Faisal,,,2406.27,595.99,1810.28,6,
311815,Ph/family nozha 6th ZZone,714,17092025,17:10:26,8 bridge Faisal,,,8856.33,751.99,8104.34,8,
311817,PY/sunrise imbaba 6thZone,734,02092025,12:43:42,116 mosque Faisal,Giza,Faisal,4716.10,715.92,4000.18,8,
311818,PY/SUNRISE IMBABA WH-155,774,19092025,18:36:50,Faisal 116 Zayed st. square,,,3333.16,433.51,2899.65,6,
311819,PY/Sunrise Imbaba (2),743,19092025,12:40:27,"10 Port Said st., near school, Fasal",,,5205.94,520.38,4685.56,11,CLSD
311820,PY/Sunrsie Imbaba (2),764,15092025,08:14:20,,,,11771.72,2621.92,9149.80,15,CLSD
311821,El Tourath Faisal-A,775,16092025,14:19:20,Faissal 63 Sudan st. metro,,,2115.64,538.48,1577.16,5,CLSD
311825,El Baraka Faisal(2),758,04092025,11:53:31,,Giza,Faisal,1963.84,400.78,1563.06,4,CLSD
311826,PH silver care Mall,709,06092025,15:02:29,"155 Salah Salem st., near police st., Fasial",,,1097.41,278.09,819.32,2,
311827,PY/silver crae,763,08-Sep-2025,11:57:39,,,,3745.22,811.54,2933.68,3,
311830,EBN SINA FAISAL Branch 1,702,05092025,16:06:33,,,,1893.73,300.53,1593.20,3,CLSD
311831,Ph/NILE CARE-A,766,15092025,16:41:33,,,,3699.28,980.08,2719.20,4,CLSD
311832,Ph/NILE CARE Branch 1,706,11092025,14:05:29,Mustafa Nahhas 202 - Faisal,Giza,Mohandessin,1787.36,381.02,1406.34,6,CLSD
311833,nile care-A,778,18092025,13:34:49,,,,2843.87,553.53,2290.34,6,CLSD
311834,PY/Care 24 Seven 6th Zone,705,04092025,20:47:13,64 market Faisal,Giza,Faisal,3372.84,363.03,3009.81,5,
